0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.236947894096374512e-01,8.879551291465759277e-01,8.104746937751770020e-01,7.402219772338867188e-01,5.811924934387207031e-01,3.627126812934875488e-01,3.203236460685729980e-01,3.681996464729309082e-01,4.476787447929382324e-01,6.153508424758911133e-01,7.853223681449890137e-01,8.477341532707214355e-01,8.795421719551086426e-01,9.001250267028808594e-01,9.147303700447082520e-01
9.139285087585449219e-01,8.776123523712158203e-01,8.358329534530639648e-01,8.641911149024963379e-01,8.281453847885131836e-01,6.688714027404785156e-01,5.623938441276550293e-01,5.200946331024169922e-01,5.570458769798278809e-01,6.753468513488769531e-01,8.088560104370117188e-01,8.700683712959289551e-01,8.904786109924316406e-01,9.130361676216125488e-01,9.351751804351806641e-01
8.983954787254333496e-01,8.557471036911010742e-01,8.145527839660644531e-01,8.097613453865051270e-01,7.983053922653198242e-01,7.040348649024963379e-01,6.669991612434387207e-01,6.600254178047180176e-01,6.647787690162658691e-01,7.188078761100769043e-01,7.891739606857299805e-01,8.358641266822814941e-01,8.754653334617614746e-01,8.977865576744079590e-01,9.127089381217956543e-01
8.895516991615295410e-01,8.318901658058166504e-01,7.691193222999572754e-01,6.308565735816955566e-01,5.102421641349792480e-01,4.249820709228515625e-01,3.953056335449218750e-01,3.761184215545654297e-01,3.934379518032073975e-01,4.974924921989440918e-01,5.973216295242309570e-01,6.805142760276794434e-01,7.810027599334716797e-01,8.428100943565368652e-01,8.668158650398254395e-01
8.971084952354431152e-01,8.435072302818298340e-01,8.137179613113403320e-01,7.953296899795532227e-01,7.173444032669067383e-01,6.151927709579467773e-01,5.548817515373229980e-01,5.265945792198181152e-01,5.397489070892333984e-01,6.338248252868652344e-01,7.421906590461730957e-01,7.919067144393920898e-01,8.405297398567199707e-01,8.774759173393249512e-01,9.039206504821777344e-01
8.761181831359863281e-01,8.110464215278625488e-01,7.675548195838928223e-01,7.246536016464233398e-01,6.595219969749450684e-01,5.941615700721740723e-01,5.618493556976318359e-01,5.650171637535095215e-01,5.741695165634155273e-01,6.466658115386962891e-01,7.294329404830932617e-01,7.813821434974670410e-01,8.354085087776184082e-01,8.766236305236816406e-01,9.011185169219970703e-01
8.763155937194824219e-01,7.871702909469604492e-01,7.201091051101684570e-01,7.149032354354858398e-01,6.887393593788146973e-01,6.456400752067565918e-01,6.155843734741210938e-01,6.028300523757934570e-01,6.151655912399291992e-01,6.830940246582031250e-01,7.279461026191711426e-01,7.680277824401855469e-01,8.210569620132446289e-01,8.655818700790405273e-01,8.885166645050048828e-01
8.876566290855407715e-01,8.046282529830932617e-01,7.451106905937194824e-01,7.538557648658752441e-01,7.588156461715698242e-01,7.224125862121582031e-01,6.722337603569030762e-01,6.360421180725097656e-01,6.248846054077148438e-01,6.696981787681579590e-01,7.372595071792602539e-01,7.759647965431213379e-01,8.268882632255554199e-01,8.707905411720275879e-01,8.881806731224060059e-01
